Model,Brand,Cores,Threads,Socket Type,Memory Type,Memory Speed,Base Speed,Turbo Speed,Max Power Consumption,Price,Amazon URL,,
i5-13600K,Intel,14,20,LGA 1700,DDR5,5600 MHz,3.5 GHz,5.1 GHz,125 W,319.97,https://www.amazon.com/dp/B0BCDR9M33?tag=pcbuilder00-20,,
i7-13700KF,Intel,16,24,LGA 1700,DDR5,5600 MHz,3.4 GHz,5.4 GHz,125 W,397.99,https://www.amazon.com/dp/B0BCDL7F5W?tag=pcbuilder00-20,,
i9-12900K,Intel,16,24,LGA 1700,DDR5,4800 MHz,3.2 GHz,5.2 GHz,125 W,479,https://www.amazon.com/dp/B09FXDLX95?tag=pcbuilder00-20,,
i9-13900K,Intel,24,32,LGA 1700,DDR5,5600 MHz,3.0 GHz,5.8 GHz,125 W,641.92,https://www.amazon.com/dp/B0BCF54SR1?tag=pcbuilder00-20,,
i9-13900KF,Intel,24,32,LGA 1700,DDR5,5600 MHz,3.0 GHz,5.8 GHz,125 W,574,https://www.amazon.com/dp/B0BCFM3CJ4?tag=pcbuilder00-20,,
Ryzen 7 7700X,AMD,8,16,AM5,DDR5,5200 MHz,4.5 GHz,5.4 GHz,107 W,348.99,https://www.amazon.com/dp/B0BBHHT8LY?tag=pcbuilder00-20,,
Ryzen 9 3950X,AMD,16,32,AM4,DDR4,3200 MHz,3.5 GHz,4.7 GHz,105 W,610,https://www.amazon.com/dp/B07ZTYKLZW?tag=pcbuilder00-20,,
Ryzen 9 5950X,AMD,16,32,AM4,DDR4,3200 MHz,3.4 GHz,4.9 GHz,105 W,559.2,https://www.amazon.com/dp/B0815Y8J9N?tag=pcbuilder00-20,,
Ryzen 9 7900X,AMD,12,24,AM5,DDR5,5200 MHz,4.7 GHz,5.6 GHz,170 W,439.99,https://www.amazon.com/dp/B0BBJ59WJ4?tag=pcbuilder00-20,,
Ryzen 9 7950X,AMD,16,32,AM5,DDR5,5200 MHz,4.5 GHz,5.7 GHz,170 W,699,https://amazon.com/dp/B0BBHD5D8Y?tag=pcbuilder00-20,,
Ryzen Threadripper 3970X,AMD,32,64,sTRX4,DDR4,3200 MHz,3.7 GHz,4.5 GHz,280 W,2193.4,https://www.amazon.com/dp/B0815JJQQ8?tag=pcbuilder00-20,,
Ryzen Threadripper 3990X,AMD,64,128,sTRX4,DDR4,3200 MHz,2.9 GHz,4.3 GHz,280 W,8078,https://www.amazon.com/dp/B0815SBQ9W?tag=pcbuilder00-20,,
