Model,Brand,RAM Size,Quantity,RAM Type,RAM Speed,Price,Amazon URL,
AX5U6000C4016G-DCLARBK,XPG,32 GB,2x16 GB,DDR5,6000 MHz,284.91,https://www.amazon.com/dp/B09NCR1ZGK?tag=pcbuilder00-20&th=1,
CMH32GX5M2D6000C36,Corsair,32 GB,2x16 GB,DDR5,6000 MHz,199.99,https://www.amazon.com/dp/B0B771BL4S?tag=pcbuilder00-20,
CMK32GX5M2B5600C36,Corsair,32 GB,2x16 GB,DDR5,5600 MHz,144.99,https://www.amazon.com/dp/B09NCNF2ZQ?tag=pcbuilder00-20&th=1,
DOMINATOR PLATINUM,Corsair,32 GB,2x16 GB,DDR5,6000 MHz,275.99,https://www.amazon.com/dp/B09WH7X8XH?tag=pcbuilder00-20&th=1,
FF3D532G6000HC38ADC0,TEAMGROUP,32 GB,2x16 GB,DDR5,6000 MHz,474.41,https://www.amazon.com/dp/B09LHQL3GF?tag=pcbuilder00-20&th=1,
Fury Renegade RGB,Kingston,32 GB,2x16 GB,DDR5,6400 MHz,307.2,https://amazon.com/dp/B0B72BM63Q?tag=pcbuilder00-20,
KF556C40BBAK2-64,Kingston,32 GB,2x16 GB,DDR5,5600 MHz,423.99,https://www.amazon.com/dp/B0B1QPLJT1?tag=pcbuilder00-20&th=1,
RipJaws S5,G.Skill,32 GB,2x16 GB,DDR5,6000 MHz,189.99,https://www.amazon.com/dp/B09Y16CDLG?tag=pcbuilder00-20,
Trident Z RGB,G.Skill,16 GB,2x8 GB,DDR4,4600 MHz,311.46,https://www.amazon.com/dp/B07GPQ45F1?tag=pcbuilder00-20,
Trident Z Royal,G.Skill,16 GB,2x8 GB,DDR4,4800 MHz,560,https://www.amazon.com/dp/B07PXGZDXZ?tag=pcbuilder00-20,
Trident Z5,G.Skill,32 GB,2x16 GB,DDR5,6000 MHz,189.99,https://www.amazon.com/dp/B09PTPDKD2?tag=pcbuilder00-20,
Trident Z5 RGB,G.Skill,32 GB,2x16 GB,DDR5,6400 MHz,269.99,https://amazon.com/dp/B09QS2K59B?tag=pcbuilder00-20,
Vengeance LPX,Corsair,16 GB,2x8 GB,DDR4,4600 MHz,423.99,https://www.amazon.com/dp/B07CGH547L?tag=pcbuilder00-20&th=1,
Viper Venom RGB,Patriot Memory,32 GB,2x16 GB,DDR5,6000 MHz,219.99,https://www.amazon.com/dp/B09XZ6VVY9?tag=pcbuilder00-20,
XLR8,PNY,32 GB,2x16 GB,DDR5,6200 MHz,219.99,https://www.amazon.com/dp/B09XBWZ2GZ?tag=pcbuilder00-20&th=1,
